ID,Yield
ID_F9XXEXN2ADR2,0
ID_SO3VW2X4QO93,0
ID_UKUQ7JM8E894,0
ID_QUISMWEZR2H4,0
ID_25JGI455VKCZ,0
ID_KQEAOXF3RPV6,0
ID_FSNZCPW9HTD2,0
ID_U2TOPOA0T40S,0
ID_XVQLSUKOT04J,0
ID_EAZAU6IW58PK,0
ID_WI17R25TC2VU,0
ID_OPR9MJWG40U7,0
ID_P9K9GAHC6FX6,0
ID_SCAOUCCTJ75Z,0
ID_MUP1OS8GZR5E,0
ID_WVBSZ9VBC9HE,0
ID_9MGH1WIKFBNB,0
ID_3M2O3EPOM18C,0
ID_K9MOR4N1FWIB,0
ID_VJPUPMSQARO5,0
ID_7WIMK3DXIU3Q,0
ID_6QXVH0EUS60J,0
ID_CA9GH6Q53A1Q,0
ID_94KO4EQ6TA3S,0
ID_2WH3AXUWRS2A,0
ID_LBS8TBC6QEF1,0
ID_Y3YARETW8RAP,0
ID_BY9JJAIKBRGP,0
ID_0U5AM482W1DE,0
ID_G0I28ORJC3OP,0
ID_Q34ED4EMSA3R,0
ID_LN3LXEG984XM,0
ID_0JTIPPYRJND0,0
ID_2MRD9I2X8UXB,0
ID_KH1FHLUW2T4X,0
ID_RFM5MWSIU1JX,0
ID_IAH2UTMDVU8F,0
ID_9SNP46T1GSJI,0
ID_DSQ9ISYFW4DB,0
ID_B8XYLC3NM6XD,0
ID_HOG9LK4CTN8K,0
ID_L3RTRS1QIY6D,0
ID_03QW4RBYQEBK,0
ID_ZJSYN3ZHXK5K,0
ID_UPRM76SZ7IJJ,0
ID_YB866N9RY5TU,0
ID_4H0KNHPKF9BK,0
ID_TOIT03A3WTTD,0
ID_4P7NKCB6LMJ5,0
ID_1TIMGZJLRLWF,0
ID_25E6065LQDON,0
ID_SOB9B3H12POE,0
ID_A8RF0GQGJF5H,0
ID_GT36LGF8SM8K,0
ID_E9OHGDA3U6DG,0
ID_HXWHLMRE99CE,0
ID_3VL9DLFRG5A3,0
ID_OKPI3DR2ZQPJ,0
ID_XZO6ECCAOC94,0
ID_4X2UWYR6RIE2,0
ID_1LVAHN6PZYBS,0
ID_HRAJFKTPCNWQ,0
ID_TK4H5NRKHOE8,0
ID_9U0UBT1J8152,0
ID_3EUKVYT37JOP,0
ID_1499QWPPW755,0
ID_ULWP3J0G860C,0
ID_51FSB3P7RO7F,0
ID_FHMVP6OM4GDX,0
ID_2OICAUFVUF5S,0
ID_ZGCFHIHAIC5U,0
ID_SR592R346POT,0
ID_IW7UUDAW8LI0,0
ID_UNWZCF6L3JHJ,0
ID_Z4FXX0BNPHCO,0
ID_T18YB26T1R72,0
ID_LXZWOINVI194,0
ID_QNQJS14C9JJR,0
ID_NTPIQUV3J2G6,0
ID_PVQOEEDTISZ0,0
ID_PNB65ASGG3U5,0
ID_KWPXATBZDX9T,0
ID_0G0F9TOR4IMI,0
ID_FVLMABW5Y6X2,0
ID_O2PL38IY50T5,0
ID_CNG8Z00FPPMP,0
ID_641DSHBH8JAF,0
ID_Y14QXUKOFJ4H,0
ID_DRP3WZV4BNIE,0
ID_TMXV7UW39T80,0
ID_0L8O49SS6MQM,0
ID_UGTG0XQELY2U,0
ID_0YZYA9AXL9Z2,0
ID_KNOK4V0IWVUO,0
ID_YX4DF17Z25RV,0
ID_2YAZXP3AEDVO,0
ID_YNACZPCVVI09,0
ID_75GYXJW1DYGX,0
ID_YRCMJRFRTU2K,0
ID_1L4WBTHTDQMP,0
ID_RO0XF0TFLRG6,0
ID_NJ7G0SAVDN1Q,0
ID_UFPM6MLG1BJK,0
ID_ULY51B6WQ9FV,0
ID_CR6L4TL2VEEM,0
ID_4YRSPS7X1V7Q,0
ID_ILQ5YE78E0SD,0
ID_WDNXY8YRA10N,0
ID_WYK6LRWQ21ML,0
ID_EBA4QUGDXB5I,0
ID_2WCWAKQKRA74,0
ID_FTSIEXKUER9Y,0
ID_64BCOW7PEP3E,0
ID_0N5TFB55JBOB,0
ID_9AE1OJ45UFJ3,0
ID_NJWAR6L7X4Q6,0
ID_W8U6J9PKGGGI,0
ID_WJUUIJMPNLHW,0
ID_S7F4L5OW7OKD,0
ID_Y0OX05BLLQPI,0
ID_XJ7ULGKCALNF,0
ID_8NU1PZBDI5C7,0
ID_CPPN31R20CBA,0
ID_D20Z6VEJBE6K,0
ID_N6RSTF2IR5GL,0
ID_DJBLGDPMS85M,0
ID_34J19EEKSSHY,0
ID_P8MQS1ERUQ9F,0
ID_U07HHH2EG6K1,0
ID_IKAOSO0CFKYZ,0
ID_NHQ2WMFGNBS1,0
ID_FRJ3P7XDG7OV,0
ID_5N0W8ZFFAIQX,0
ID_OFSHZ2KZ1LQ4,0
ID_A6C1G6XUATUE,0
ID_N99MP1180BJ5,0
ID_D5F8SLVPMZKE,0
ID_49QTISSSNQ0M,0
ID_S1WHDBHNKLYO,0
ID_9YE4VBW3W1WJ,0
ID_7SWZRG2B52YI,0
ID_41XNQZ8M4QXH,0
ID_SIB0PJZQMRBO,0
ID_M47IW492SXOP,0
ID_MTUJW5V02DWQ,0
ID_Y108HSDX00WC,0
ID_QRD8JCO8QWCF,0
ID_RIP1ZN0ST7I3,0
ID_BPS356NV28J7,0
ID_0KANA1KYEQKW,0
ID_80MMCWDS27VC,0
ID_CH1WWOXBV7L8,0
ID_PM7YZSDTN1OI,0
ID_FR4XH94DJW50,0
ID_D1IDORABBOBP,0
ID_0BE8BMWG3A68,0
ID_RY2QD5TLB4US,0
ID_S8D99RRNCOMC,0
ID_YZLW773BTIA3,0
ID_FL8VHWG97QTI,0
ID_JVLT86OR9T15,0
ID_NBSTAXAZ24X0,0
ID_43VRMQQ5E60F,0
ID_HI4ACMU7M13J,0
ID_UI96L3AE8YXY,0
ID_UXRI6OXKF50S,0
ID_FW06NS2YA7QW,0
ID_RA5OO0JVNOUF,0
ID_EVGU94YQTZWM,0
ID_GHANLFEJN9UW,0
ID_HXBFX8X2DD7B,0
ID_KUNLQSF5FM19,0
ID_7XXH76413XNT,0
ID_D58TIQKQLU7Q,0
ID_W5CLRPVGFRKH,0
ID_A3Y0OIB0BE59,0
ID_C74NLELOCNTS,0
ID_2FIGN89QV44C,0
ID_QN4PJSV2CGSJ,0
ID_V5W6AZBTURWA,0
ID_L6E0GOTVHSCD,0
ID_Q95BUWXK8RM3,0
ID_5TLXCFLTYF1F,0
ID_GLBHSYJG9S5B,0
ID_3X3YHRC7IIN9,0
ID_5H724YS64665,0
ID_U4Z5RN88FCZM,0
ID_05TGZGOMI6MF,0
ID_0GCZV8RUSZK6,0
ID_UV06K1FM1SB5,0
ID_RCJZ3PORBWFV,0
ID_W1NL5CU9VHQS,0
ID_2WIYFQHMJPYD,0
ID_BFFULEU6PVQ9,0
ID_JN31K11BXQ0E,0
ID_DS40FHVR9R7F,0
ID_DNOT9DTVZ6MQ,0
ID_Z58PO8MMX8YV,0
ID_NEYMBJKFHN1X,0
