District,Block,CultLand,CropCultLand,CropTillageDepth,CropEstMethod,SeedlingsPerPit,TransplantingIrrigationHours,TransplantingIrrigationSource,TransplantingIrrigationPowerSource,TransIrriCost,StandingWater,Ganaura,CropOrgFYM,PCropSolidOrgFertAppMethod,NoFertilizerAppln,BasalDAP,BasalUrea,MineralFertAppMethod,1tdUrea,1appDaysUrea,2tdUrea,2appDaysUrea,MineralFertAppMethod.1,Harv_method,Harv_hand_rent,Threshing_method,Residue_length,Residue_perc,Stubble_use,Acre,LandPreparationMethodFourWheelTracRotavator,LandPreparationMethodOther,LandPreparationMethodTractorPlough,LandPreparationMethodWetTillagePuddling,NursDetFactorIrrigWaterAvailability,NursDetFactorLabourAvailability,NursDetFactorPreMonsoonShowers,NursDetFactorSeedAvailability,TransDetFactorIrrigWaterAvailability,TransDetFactorLaborAvailability,TransDetFactorRainArrival,TransDetFactorSeedlingAge,OrgFertilizersGanaura,OrgFertilizersGhanajeevamrit,OrgFertilizersPoultryManure,OrgFertilizersPranamrit,OrgFertilizersVermiCompost,CropbasalFertsNPK,CropbasalFertsNPKS,CropbasalFertsOther,CropbasalFertsSSP,CropbasalFertsUrea,FirstTopDressFertNPKS,FirstTopDressFertOther,FirstTopDressFertSSP,FirstTopDressFertUrea,CropTillageDateYear,CropTillageDateDayOfYearSin,CropTillageDateDayOfYearCos,RcNursEstDateYear,RcNursEstDateDayOfYearSin,RcNursEstDateDayOfYearCos,SeedingSowingTransplantingYear,SeedingSowingTransplantingDayOfYearSin,SeedingSowingTransplantingDayOfYearCos,Harv_dateYear,Harv_dateDayOfYearSin,Harv_dateDayOfYearCos,Threshing_dateYear,Threshing_dateDayOfYearSin,Threshing_dateDayOfYearCos,Yield
Vaishali,Chehrakala,20.0,20.0,5.0,Manual_PuddledRandom,2.0,5.0,Boring,Diesel,300.0,2.0,,,Broadcasting,3.0,20.0,20.0,Broadcasting,20.0,25.0,20.0,60.0,Broadcasting,hand,1500.0,hand,30.0,10.0,plowed_in_soil,0.1363636363636364,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,2022.0,-0.3294084822245302,-0.9192859697186104,2022.0,0.1966728897935764,-0.9497178427914316,2022.0,-0.3935902766564664,-0.9192859697186104,2022.0,-0.5667017562911184,0.6387494220515268,2022.0,-0.7116566222817751,0.7025274741691566,2800.0
Gaya,Gurua,20.0,20.0,4.0,Manual_PuddledRandom,1.0,2.0,Boring,Diesel,300.0,3.0,,1.0,SoilApplied,3.0,2.0,,Broadcasting,2.0,20.0,1.0,65.0,Broadcasting,hand,720.0,hand,30.0,10.0,plowed_in_soil,0.3125,True,False,True,False,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2022.0,-0.3456123126707333,-0.9192859697186104,2022.0,0.1628070129385171,-0.9893142039703664,2022.0,-0.3294084822245302,-0.9441875088341994,2022.0,-0.5808002734538014,0.8695893893466109,2022.0,-0.1372787721132651,0.9880226656636976,720.0
Jamui,Jamui,30.0,20.0,3.0,Manual_PuddledRandom,2.0,5.0,Boring,Electric,,4.0,1.0,2.0,SoilApplied,2.0,12.0,12.0,Broadcasting,12.0,45.0,,,Broadcasting,hand,90.0,machine,30.0,10.0,plowed_in_soil,0.25,True,False,True,True,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,2022.0,-0.1797665857255621,-0.9837092937736098,2022.0,0.060213277365793,-0.9981855344718586,2022.0,-0.455906693508459,-0.8900275764346766,2022.0,-0.7694148268839381,0.7383263540031063,2023.0,-0.6994583270516471,0.7383263540031063,580.0
Gaya,Wazirganj,10.0,10.0,4.0,Manual_PuddledRandom,4.0,4.0,Boring,Electric,400.0,2.0,2.0,,SoilApplied,3.0,6.0,6.0,Broadcasting,6.0,34.0,,,Broadcasting,hand,200.0,machine,30.0,10.0,plowed_in_soil,0.22727272727273,False,False,True,True,True,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,2022.0,0.3456123126707335,-0.9497178427914316,2022.0,0.1966728897935764,-0.980469160361632,2022.0,-0.4405187843504952,-0.8977433935342336,2022.0,-0.7909456567567774,0.6387494220515268,2022.0,-0.1372787721132651,0.9852201067560606,360.0
Vaishali,Mahua,15.0,15.0,5.0,Manual_PuddledRandom,2.0,4.0,Boring,Diesel,,2.0,,,Broadcasting,2.0,20.0,,Broadcasting,15.0,45.0,,,Broadcasting,hand,1200.0,machine,30.0,10.0,plowed_in_soil,0.21875,False,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2022.0,-0.4093559588156211,-0.973118337233262,2022.0,0.2135209154397961,-0.99907411510223,2022.0,-0.3777079652039646,-0.92592477719385,2022.0,-0.7694148268839381,0.6387494220515268,2022.0,-0.2553532951161881,0.9668478136052772,420.0
Nalanda,Rajgir,50.0,50.0,4.0,Manual_PuddledRandom,3.0,3.0,Boring,Electric,300.0,2.0,,,Broadcasting,3.0,7.0,,Broadcasting,7.0,42.0,7.0,30.0,Broadcasting,hand,200.0,machine,30.0,10.0,plowed_in_soil,0.125,True,False,True,False,True,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2022.0,-0.0430222330045303,-0.99907411510223,2022.0,0.1797665857255624,-0.9837092937736096,2022.0,-0.3935902766564664,-0.92592477719385,2022.0,-0.6084768701151264,0.8140460935082175,2022.0,0.0344216116227457,0.9905324521322229,300.0
Jamui,Khaira,10.0,10.0,4.0,Manual_PuddledRandom,2.0,2.0,Boring,Electric,600.0,2.0,3.0,,SoilApplied,2.0,8.0,,Broadcasting,8.0,40.0,,,Broadcasting,hand,600.0,machine,23.0,10.0,plowed_in_soil,0.9099099099090909,False,False,True,False,True,False,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,2022.0,-0.3294084822245302,-0.92592477719385,2022.0,0.0086069968886886,-0.9999629591162656,2022.0,-0.3935902766564664,-0.9123747579707274,2022.0,-0.5667017562911184,0.6387494220515268,2023.0,0.4327755925504312,0.9158642882672872,400.0
Vaishali,Mahua,30.0,30.0,4.0,Manual_PuddledRandom,2.0,4.0,Boring,Diesel,500.0,2.0,,,SoilApplied,3.0,,,Broadcasting,2.0,30.0,2.0,60.0,Broadcasting,hand,400.0,hand,30.0,10.0,plowed_in_soil,0.22727272727273,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2022.0,0.3456123126707335,-0.9441875088341994,2022.0,0.2802306751992158,-0.9599326896597448,2022.0,-0.4405187843504952,-0.8977433935342336,2022.0,-0.8214765533024145,0.5702422926917867,2022.0,-0.7469720876965551,0.9821256058680006,200.0
Gaya,Gurua,20.0,20.0,4.0,Manual_PuddledRandom,2.0,5.0,Boring,Electric,60.0,5.0,,,SoilApplied,2.0,10.0,,Broadcasting,10.0,10.0,10.0,60.0,Broadcasting,hand,120.0,machine,30.0,10.0,plowed_in_soil,0.3125,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2022.0,-0.2802306751992161,-0.9599326896597444,2022.0,0.1797665857255624,-0.986657932891657,2022.0,-0.3294084822245302,-0.9441875088341994,2022.0,-0.7909456567567774,0.5560174366570446,2022.0,-0.7469720876965551,0.6254105729852457,270.0
Nalanda,Rajgir,10.0,10.0,4.0,Manual_PuddledRandom,2.0,4.0,Canal,Electric,,3.0,1.0,,SoilApplied,2.0,10.0,10.0,Broadcasting,10.0,45.0,,,Broadcasting,hand,120.0,machine,26.0,10.0,plowed_in_soil,1.04545454545454,True,False,True,False,True,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,2022.0,0.3294084822245304,-0.9192859697186104,2022.0,0.0086069968886886,-0.9999629591162656,2022.0,-0.3935902766564664,-0.9322892131745134,2022.0,-0.5808002734538014,0.8140460935082175,2022.0,-0.2051044998686192,0.9523775757303972,1200.0
